site_id,season,horizon_bin,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
3,winter,0-6,1494,5.813996541007859,3.531280818872822,0.27348425486610906,0.17180079565365858
3,winter,6-12,1494,6.806090622352186,4.5026866958802,0.2658783051521154,0.21561066294989706
3,winter,12-18,1494,7.4406289019904905,4.640938545645799,0.2592365706505303,0.24074814782432852
3,winter,18-24,1494,7.205798765096673,4.397808028990964,0.18849823229159746,0.11955807982824151
3,spring,0-6,13110,17.432090560552506,9.289238101775913,0.08847189402468125,0.06840206208192512
3,spring,6-12,13110,23.083187221965712,14.889546956077593,0.14565455730528576,0.13990101656193754
3,spring,12-18,13110,29.374355443181134,20.07882814560111,0.035137946716470636,0.024702001730372736
3,spring,18-24,13110,34.05071873659409,23.605834668215497,-0.07363655974195882,-0.10586191517410537
3,summer,0-6,5442,13.864477715494642,5.512170954952779,0.017262721465785447,0.031604541576215506
3,summer,6-12,5442,15.289053300475326,7.674844094822837,0.06765024977647971,0.15738874443584594
3,summer,12-18,5442,17.1973384990887,9.224553597144281,0.07610206034893774,0.20405896438906812
3,summer,18-24,5442,19.025670510801177,10.666292585199784,0.08515555610101988,0.21879342259552714
3,fall,0-6,2136,4.00886060291072,2.1539363218157477,0.1548993909356402,0.04891962584516496
3,fall,6-12,2136,4.579871764551085,2.736131325196684,0.20996882959169727,0.1485230289141587
3,fall,12-18,2136,4.985932226961794,3.0704191936535783,0.1883352093648376,0.1126091122352264
3,fall,18-24,2136,5.266832421969991,3.2678656667359314,0.184502568441418,0.06571420678252993
4,winter,0-6,1974,7.563566156359014,4.794151097445503,0.05904016639482523,0.03654087438337239
4,winter,6-12,1974,13.137257886654963,8.621671288209122,0.09139322092616375,0.08258283470826977
4,winter,12-18,1974,16.61305331220927,10.896277886635144,0.04757769111066601,0.03800923634409403
4,winter,18-24,1974,19.219495692632695,11.36853938696957,0.012410705978860515,-0.007114635108826262
4,spring,0-6,13110,14.050656828152205,9.219932579430436,0.04434240803333178,-0.0008075836491872046
4,spring,6-12,13110,24.790341907800148,17.762557721519908,0.03966056966896625,0.02779463217492739
4,spring,12-18,13110,30.24695534459336,22.13730949209811,0.01273033694817094,-0.004609003313550186
4,spring,18-24,13110,33.78250988004785,24.870840805600746,-0.04354971472601221,-0.07942524473509072
4,summer,0-6,4872,8.60281922697985,4.849445665704793,0.05598888637516097,0.002156748577927581
4,summer,6-12,4872,10.588170508081392,6.940034678906251,0.16790409045459165,0.18148541769287607
4,summer,12-18,4872,12.100963094148595,8.451206370038156,0.21954586911284313,0.24908506106563855
4,summer,18-24,4872,14.067453573541275,9.961080393278344,0.2087772407417483,0.2469625586376828
4,fall,0-6,1932,5.672081626048705,2.8824409831384696,0.012091120278108991,0.002497457878377074
4,fall,6-12,1932,9.026339791318073,5.3256182157228205,0.030507679928790776,0.012038407303238019
4,fall,12-18,1932,10.807490918432997,6.751574966478052,0.05457354081434784,0.011348051714194396
4,fall,18-24,1932,12.365082967371242,7.661967446344979,0.07020072188058857,0.017491479753095507
